entity.label	normalized_text
channelname	I think CHANNELNAME Nudes is a different channel.
channelname	I have seen CHANNELNAME before.
channelname	I watch / read CHANNELNAME.
channelname	Do you like the channel CHANNELNAME?
channelname	I don't know how I feel about CHANNELNAME.
channelname	CHANNELNAME is an interesting phenomenon.
channelname	I do follow CHANNELNAME.
channelname	I actually recently learned CHANNELNAME created the yellow first down line.
channelname	yes CHANNELNAME did.
channelname	CHANNELNAME is the sports network yes?
date	At least DATE is going to be cool.
date	have a nice DATE
date	It's surprising that DATE got so much backlash since usually fans love her no matter what.
date	You have a nice DATE too!
date	Have a great DATE!
date	Have a pleasant DATE!
date	Have a nice DATE.
date	I am  headed out to the field to start a Silent DATE with my community this weeked
date	You have a great DATE too!
date	You're the first person that has actually received a package on a DATE that I have talked to.
device	Because it is the fastest to dial on a DEVICE.
device	I like my older DEVICE as well.
device	I liked those DEVICE.
device	I have an DEVICE.
device	Lots about DEVICE technology is incredible.
device	Yeah I think the DEVICE are safer still for some reason.
device	I enjoy also enjoy the DEVICE.
device	Would you want to upload your mind to a DEVICE?
device	I am trying to cut out uneccesary DEVICE from my life.
device	Was Inspect Gadget a comics on Paper or a cartoon on DEVICE ?
duration	But were they actually lies and who gets sentenced to DURATION in jail?
duration	Yes and it took them DURATION to actually realize that
duration	DURATION.
duration	Considering that a DURATION used to last just 5.5. hours.
duration	Is that even possible in a DURATION?
duration	I do although I can't believe voter turnout in the presidential elections hasn't surpassed 62.8% in the last DURATION.
duration	That's one way to celebrate making it a DURATION!
duration	You know.. it was just DURATION ago when someome told me about that.
duration	That was over DURATION years ago.
duration	It could definitely feed me for a DURATION.
event	I usually watch around EVENT time.
event	Yeah last years' EVENT was crazy!
event	Especially EVENT!
event	Well I think this past EVENT should win an award for most boring!
event	Yeah...I think they are just riding it out until the EVENT.
event	I watched the EVENT.
event	And that one defeat was in the Word EVENT.
event	Oh my goodness I could not imagine that happening last EVENT.
event	Mostly during the EVENT also.
event	Did you watch the EVENT this year?
gamename	I love Japanese GAMENAME.
gamename	he just beat many people on GAMENAME.
gamename	I do love GAMENAME too.
gamename	I loved GAMENAME.
gamename	I told him he played too much GAMENAME.
gamename	I still remember how people were crazed about GAMENAME
gamename	Not even once have I played GAMENAME.
gamename	I used to play GAMENAME!
gamename	GAMENAME!
gamename	I love playing GAMENAME too.
genre	He also studied GENRE.
genre	You like GENRE?
genre	One of the things I really like about GENRE is how good it is to dance to or keep time while exercising.
genre	I love GENRE.
genre	I do like GENRE.
genre	That wouldnt be a bad name for a GENRE artist.
genre	Not like GENRE!
genre	hmm... very patriotically of them :) I guess the question is.... is GENRE pleasant to listen ;)
genre	You can't have dram or actually GENRE without it.
genre	"I grew up around the time that hard rock/glam metal really rows in popularity and it seems like the ""harder"" GENRE like that has mostly stuck with me to this day."
location	We should publish this as a book and get some money from LOCATION.
location	The LOCATION?
location	Have you ever been to LOCATION?
location	Especially in a foreign country like LOCATION!
location	probably because he has done horrible things and LOCATION doesn't like him so he's scared someone will kill him.
location	I think that was a mistake to recreate word for word a show from the LOCATION.
location	I read there is a twin one in LOCATION too.
location	Funny enough i am originally from LOCATION and am aware but have never visited this particular sight.
location	Yeah that is really nice of LOCATION.
location	Speaking of liking animals... there's a zoo in LOCATION that'll let you PET the African Penguins for a small fee.
number	THAT'S A NUMBER STROKE PENALTY!
number	I think there are like NUMBER episodes or something.
number	Hiccups are an evolutionary trait tied to unfriending NUMBER people on face book to get a free whopper.
number	"I read an article that says ""An average professional hockey player will lose up to NUMBER pounds in one game."""
number	THat is nothing for those NUMBER.
number	I guess he could go to the website with NUMBER of episodes of classic radio dramas for free.
number	And it's only NUMBER the size of the biggest star in our galaxy!
number	Didn't it only have like NUMBER episodes that aired?
number	Yes and we can move NUMBER to and from the location so much more efficiently.
number	Apparently the water is NUMBER ft. deep?
organization	Are you interested in the ORGANIZATION in general?
organization	No ORGANIZATION was an innovator with guitars.
organization	The same as mine....ORGANIZATION!
organization	Looks like they should have accepted ORGANIZATION's offer and bought them back then.
organization	Yea and then she actually had the ORGANIZATION ask her to tweet her followers about some roadwork once.
organization	Honestly I prefer ORGANIZATION because of the coffee.
organization	I know a ORGANIZATION agency that uses goats all the time.
