midas_entity	normalized_text
appreciation person	That is cool about PERSON.
command channelname	Keep learning and enjoy watching CHANNELNAME.
command date	Have a nice DATE.
command device	DEVICE amusement devices.
command duration	You wonder what our way of voting will be like in DURATION.
command event	But imagine the EVENT process.
command genre	GENRE!
command number	Talk about NUMBER being unlucky haha.
command position	As long as we can start with the first POSITION.
command softwareapplication	Some stuff Do you know what SOFTWAREAPPLICATION is?
command sport	I have enjoyed talking about SPORT with you.
command sportteam	Close the SPORTTEAM.
command videoname	Lets talk about VIDEONAME.
command wear	But what about the ostrich WEAR?
command year	Just like the one that happened in the YEAR?
comment channelname	CHANNELNAME suing someone for distorting the truth is pretty rich.
comment date	it was nice chatting with you to have a nice DATE
comment duration	Wow that is crazy that's a lot of calories to burn in a DURATION!
comment event	Yes EVENT is a crazy lot!
comment genre	yeah that is so convenient for those who love that type of GENRE
comment position	That's had to give the sitting POSITION a moment of pause.
comment softwareapplication	It's crazy what's all on SOFTWAREAPPLICATION.
comment songname	SONGNAME do sound majestic
comment sport	That is an insane amount of money to play SPORT.
comment sportrole	That is exciting and the SPORTROLE has a lot of responsibility
comment sportteam	SPORTTEAM are a great team.
comment vehicle	Yes but they reason that for the fact that they need to protect their VEHICLE so that makes sense
comment wear	WEAR are good.
comment year	It's crazy to think that this all started in the early YEAR.
complaint duration	DURATION?!
complaint genre	Oh I am not convincing you to watch GENRE.
complaint location	Now you're defending LOCATION?
complaint number	NUMBER pounds really?
complaint organization	You don't know what ORGANIZATION is?
complaint person	Eat that PERSON.
complaint softwareapplication	You never heard of SOFTWAREAPPLICATION?
complaint sport	More than SPORT players really?
complaint sportteam	You're not a SPORTTEAM fan?
complaint videoname	please do not binge watch VIDEONAME.
complaint year	YEAR?!
dev_command date	have a nice DATE
dev_command device	Google instructions for DEVICE.
dev_command softwareapplication	Have some SOFTWAREAPPLICATION!
dev_command sport	Keep learning and enjoying SPORT!
dev_command videoname	Watch VIDEONAME.
neg_answer device	I do not have an DEVICE.
neg_answer duration	No we have went a couple DURATION though.
neg_answer event	Not since EVENT grade.
neg_answer genre	No I haven't seen a good GENRE in a long time.
neg_answer location	No LOCATION had not been built at that point.
neg_answer number	Nope those are the only NUMBER I know of.
neg_answer organization	I haven't heard about the ORGANIZATION campaign.
neg_answer person	I did not know that PERSON did that.
neg_answer softwareapplication	Not so much now that I have SOFTWAREAPPLICATION.
neg_answer sport	Not in modern SPORT.
neg_answer sportrole	I didn't know that about the deaf SPORTROLE.
neg_answer sportteam	No I do not like SPORTTEAM.
neg_answer vehicle	i do not own a VEHICLE.
neg_answer videoname	I haven't seen VIDEONAME.
open_question_factual duration	I wonder how many books she reads a DURATION.
open_question_factual event	So who did win the EVENT this year?
open_question_factual gamename	"How long did you play ""GAMENAME Go""."
open_question_factual genre	What drew these folks to GENRE in the first place though.
open_question_factual number	how long would it take to play NUMBER games?
open_question_factual position	Wow that is crazy Do you know what the first POSITION was called
open_question_factual softwareapplication	Who is the  blind guy on SOFTWAREAPPLICATION.
open_question_factual sport	Speaking of SPORT how often you watch it?
open_question_factual sportrole	Who is the best active SPORTROLE?
open_question_factual sportteam	How did SPORTTEAM do this season?
open_question_factual vehicle	How often do you drive your VEHICLE by the way?
open_question_factual videoname	I wonder when VIDEONAME did that?
open_question_factual wear	hmm its also crazy..  what abt WEAR?
open_question_opinion channelname	I wonder what people in the other countries that get CHANNELNAME think about it.
open_question_opinion device	Why do they need a DEVICE processor?
open_question_opinion duration	How about it took DURATION to make wreck-it-ralph and I haven't even seen the movie.
open_question_opinion event	Who are you hoping wins the EVENT this year?
open_question_opinion number	What are the NUMBER kinds of hocky could you tell me please?
open_question_opinion party	Why register PARTY then?
open_question_opinion position	So what do you think about the POSITION?
