midas_entity	normalized_text
command location	Imagine if our sun was the size of the biggest star in our LOCATION.
command location	I'd like to hear LOCATION pronounced in a song...lol.
command location	lol  Let's talk about the LOCATION.
command location	I would like to see that Guatemalan law in the LOCATION.
command location	how about that wall on LOCATION ?
command location	Imagine what a mess it would be if LOCATION did something like that.
command location	Take for instance LOCATION's ban on interracial marriage.
command location	We should publish this as a book and get some money from LOCATION.
command location	Remind me never to cut anyone off in traffic in LOCATION.
command location	Just don't make the mopeds in LOCATION solar-powered!
command organization	Yes making them leave a restaurant if an ORGANIZATION player is there?
command organization	ORGANIZATION players should run for office.
command organization	Leave it to ORGANIZATION
command organization	Yeah imagine if they took all of the comedy related content out of ORGANIZATION?
command organization	What about with ORGANIZATION?
command organization	ok... what about ORGANIZATION?..
command organization	What about ORGANIZATION.
command organization	I wish people would talk more about his record at the ORGANIZATION instead of this stuff with his wife.
command organization	Some news from ORGANIZATION is interesting.
command organization	People need to keep there personal business of ORGANIZATION.
command person	Lets talk about PERSON next.
command person	I'd like them to adapt some PERSON.
command person	What about PERSON?!
command person	What about PERSON?
command person	Yeah imagine how wealthy PERSON actually was way back then.
command person	Or think about a super athlete like PERSON.
command person	What about PERSON?
command person	Ask PERSON.
command person	Imagine if we had someone like PERSON.
command person	We should give PERSON a nickname!
comment device	Yeah it was the easiest to dial on those large DEVICE
comment device	That's DEVICE.
comment device	yes it is pretty cool and also a little bit scary that they have access to our DEVICE
comment device	I personally think that the DEVICE used to make those eerie sounds looks pretty cool
comment device	The DEVICE are funny.
comment device	That was the best gaming DEVICE ever.
comment device	It is amazing how powerful our DEVICE are.
comment device	Yea that is short and yet we are glued to the DEVICE for forever
comment device	That's a pretty special DEVICE!
comment device	Yeah that is a lot for a small DEVICE
comment location	That's pretty drastic for LOCATION.
comment location	It was a great film about the LOCATION space program.
comment location	LOCATION is  a tough town.
comment location	Wow - that's a lot of money just to cross the LOCATION.
comment location	Ah that is very similar to LOCATION.
comment location	haha ya I mean I get that its legal in LOCATION but that seems insane
comment location	That's interesting but I wouldn't want the LOCATION to try that
comment location	from LOCATION thats interesting.
comment location	Good for LOCATION.
comment location	That sounds like LOCATION.
comment number	Not bad for a NUMBER year old guy!
comment number	NUMBER is a lot of money!
comment number	That's pretty clever for a NUMBER year old.
comment number	NUMBER dollars is a lot of money though.
comment number	Wow NUMBER is pretty young.
comment number	ya that's crazy he made NUMBER per episode!
comment number	It is kind of funny to think that NUMBER for a library of characters is cheap.
comment number	NUMBER its weight is crazy!
comment number	Wow NUMBER is a lot.
comment number	NUMBER different types1 wow that sounds like a lot
comment organization	That's a very bad day for ORGANIZATION.
comment organization	Yeah he is a great player of the ORGANIZATION.
comment organization	I did and man did they make a big mistake by not buying ORGANIZATION when they could
comment organization	That's very good of ORGANIZATION.
comment organization	That's true with ORGANIZATION.
comment organization	That's great of ORGANIZATION.
comment organization	That was not nice of ORGANIZATION.
comment organization	That's a huge loss for ORGANIZATION.
comment organization	yeah...it seemed ORGANIZATION.
comment organization	Yeah that is interesting about ORGANIZATION.
comment person	PERSON is a great guy.
comment person	That is too bad for PERSON.
comment person	You are very angry at PERSON.
comment person	"That seems like a ""PERSON"" thing to do."
comment person	It was funny when PERSON tweeted a picture of a hat and a lunchbox to Musk in an attempt to fight back.
