midas_entity	text
command device	Lets talk about DEVICE next.
command device	We need DEVICE!
command device	Imagine if they put DEVICE on the balls and we got to see the path it took.
command device	Ever think about how DEVICE work?
command device	Speaking of DEVICE.
command device	Speaking of DEVICE..
command device	Speaking of DEVICE.
command device	What about the DEVICE.
command device	Speaking of DEVICE.
command device	Let's talk about my favorite DEVICE lol.
command organization	Speaking of ORGANIZATION.
command organization	Speaking of ORGANIZATION.
command organization	What about ORGANIZATION.
command organization	ok... what about ORGANIZATION?..
command organization	Speaking of ORGANIZATION.
command organization	Leave it to ORGANIZATION
command organization	lets talk about the ORGANIZATION next.
command organization	Speaking of ORGANIZATION.
command organization	Talking about ORGANIZATION.
command organization	People need to keep there personal business of ORGANIZATION.
command person	And we talked about PERSON before.
command person	Yeah so enough of PERSON.
command person	I'd like them to adapt some PERSON.
command person	Speaking of PERSON.
command person	What about PERSON.
command person	Leave it to PERSON!
command person	I'll let PERSON decide that
command person	And what about PERSON?
command person	Speaking of PERSON.
command person	Imagine if we had someone like PERSON.
command position	Speaking of POSITION.
command position	Lets talk about POSITION next.
command position	We should refer to our current POSITION with a nickname too
command position	Do you know much about POSITION?
command position	I enjoy talking about POSITION.
command position	speaking of the POSITION.
command position	speaking of POSITION.
command position	Speaking of POSITION.
command position	Speaking of POSITION.
command position	Speaking of POSITION.
command sport	I have enjoyed talking about SPORT with you.
command sport	And not go play SPORT instead.
command sport	"True Do you know the highest core in SPORT?
"
command sport	Ok...we'll talk about SPORT next then.
command sport	What about SPORT.
command sport	Speaking of SPORT.
command sport	Speaking of SPORT.
command sport	what about SPORT?
command sport	You want to talk decisive wins in SPORT.
command sport	What about SPORT?
command videoname	I would love to hear the original transmission of VIDEONAME.
command videoname	Lets talk about VIDEONAME.
command videoname	Talk about VIDEONAME.
command videoname	Speaking of VIDEONAME.
command videoname	What about VIDEONAME?
command videoname	Speaking of VIDEONAME.
command videoname	What about the VIDEONAME movie?
command videoname	What about VIDEONAME?
command videoname	Speaking of VIDEONAME.
command videoname	Back to VIDEONAME.
comment location	That is really cool you went to LOCATION.
comment location	LOCATION is  a tough town.
comment location	We are truly newcomers to this LOCATION.
comment location	Good for LOCATION.
comment location	The LOCATION is a pretty good place.
comment location	That is sad for LOCATION.
comment location	That's pretty drastic for LOCATION.
comment location	Ah that is very similar to LOCATION.
comment location	It's really big and powerful system in the LOCATION
comment location	Oh that is unfortunate for LOCATION and quite ironic given the name.
comment organization	It was a smart move by ORGANIZATION.
comment organization	Wow you know a lot about the ORGANIZATION.
comment organization	I did and man did they make a big mistake by not buying ORGANIZATION when they could
comment organization	It was rather genius of ORGANIZATION if you ask me.
comment organization	Good for ORGANIZATION!
comment organization	Yeah thanks to a contract with the ORGANIZATION How convenient for us
comment organization	That's true with ORGANIZATION.
comment organization	yeah that is pretty nuts but its a great way for ORGANIZATION to advertise
comment organization	Yeah that is interesting about ORGANIZATION.
comment organization	That's a very bad day for ORGANIZATION.
comment person	it is interesting PERSON is not listed as one of the wealthiest
comment person	That sounds like a nice thing you have going on there and they used to tease PERSON a lot because of that
comment person	PERSON is a strange nickname that definitely needs some context to understand
comment person	It's crazy to think only PERSON makes more than her
comment person	I did not know PERSON was so smart
comment person	You are very angry at PERSON.
comment person	PERSON has certainly matured over the years and had his ups and downs for sure
comment person	Haha never but that's funny he did that to PERSON!
comment person	PERSON is pretty funny
comment person	Wow. was one of them PERSON?
comment videoname	That would be VIDEONAME.
comment videoname	VIDEONAME.
comment videoname	VIDEONAME.
comment videoname	Yeah VIDEONAME was funny.
comment videoname	VIDEONAME!
comment videoname	VIDEONAME!
comment videoname	VIDEONAME do sound majestic
comment videoname	Even VIDEONAME were funny.
comment videoname	VIDEONAME.
comment videoname	VIDEONAME.
neg_answer location	No.  Not in LOCATION.
neg_answer location	Not since I found out they were made in LOCATION.
neg_answer location	Not in LOCATION.
neg_answer location	I did not know it is a right in LOCATION!
neg_answer location	Not in LOCATION.
neg_answer location	No the LOCATION had not been built at that point.
neg_answer location	No he lives in the LOCATION currently.
neg_answer location	I havent been to LOCATION.
neg_answer location	Never been to LOCATION.
neg_answer location	I didnt know that about LOCATION.
neg_answer person	I do not know a PERSON.
neg_answer person	I did not know that PERSON did that.
neg_answer person	No PERSON in there.
neg_answer person	I don't know PERSON.
neg_answer person	No its not PERSON.
neg_answer person	Oh don't get me started on PERSON.
neg_answer person	No it is actually PERSON.
neg_answer person	No idea who PERSON is.
neg_answer person	No. PERSON was not big around here.
neg_answer person	I have not heard of PERSON.
open_question_factual location	I wonder how much of the LOCATION she actually digests
